speaker,condition,filename,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,pitch,rms,zcr,centroid,bandwidth,rolloff,chroma1,chroma2,chroma3,chroma4,chroma5,chroma6,chroma7,chroma8,chroma9,chroma10,chroma11,chroma12
s10,Lombard,s10_l_bwiu3s.wav,-433.25488,42.599846,3.3585098,58.94988,-6.7569323,-27.723768,-18.059423,-14.581286,-7.2883697,-14.955365,-6.759421,1.8616394,1653.3713,0.020245275,0.15228592722039475,2027.8627161265993,1712.6461852895197,3901.9325657894738,0.17967819,0.1453969,0.15451169,0.15964654,0.14535694,0.18353674,0.37285227,0.5579611,0.5360652,0.38303408,0.29124358,0.21933992
s10,Lombard,s10_l_bwwoza.wav,-457.5043,59.647938,-8.868157,48.8208,1.337204,-24.243282,-25.101652,-17.776674,0.1999027,-8.897158,-7.488144,2.6759465,1588.5946,0.015234556,0.09690583881578947,1663.5274337061858,1606.3975037024543,3374.0131578947367,0.26512986,0.31799695,0.2928706,0.2421559,0.25316155,0.29206207,0.43626207,0.5322575,0.4376911,0.41687137,0.3133812,0.2535498
s10,Lombard,s10_l_lbbt4a.wav,-401.81854,64.31555,-2.0108101,56.468304,-5.7322345,-29.309156,-28.372448,-17.525549,1.3874671,-6.0239854,-4.050882,-1.398029,1363.8988,0.02188762,0.10070337223101265,1681.6197212186123,1566.9337928688353,3292.2270569620255,0.14321391,0.21783616,0.24071938,0.15774393,0.20741542,0.24940725,0.44061768,0.47760865,0.48315042,0.34086436,0.2594251,0.2058357
s10,Lombard,s10_l_lgif6n.wav,-402.95605,55.046913,1.531918,48.488235,-3.3713608,-37.058636,-27.609089,-14.180271,4.008397,-0.7420652,-3.404067,-1.850008,1368.1538,0.01885512,0.16046493354885058,2050.9196205611934,1674.858923845754,3665.8584770114944,0.2576871,0.2140985,0.18349358,0.17352447,0.16242759,0.27625734,0.38029125,0.44742444,0.53408784,0.45717117,0.37919652,0.3231535
s10,Lombard,s10_l_lgwp6p.wav,-432.6494,39.130173,16.856112,62.587635,1.9287058,-29.967972,-23.557028,-19.078201,-3.0468705,0.11162996,-3.1375139,0.014746994,1573.7826,0.018003063,0.17657470703125,2222.5587896992893,1732.8061749587648,3967.3665364583335,0.21211176,0.17116477,0.21261291,0.23998524,0.2744005,0.29327226,0.41348228,0.49144062,0.5858159,0.5468496,0.40907967,0.3157236
s10,Lombard,s10_l_lgwz8a.wav,-394.61115,47.081272,-1.6080065,59.750927,-6.5435834,-37.676228,-28.490852,-20.934406,0.46260613,-2.5100682,-2.4481418,-2.2383752,1407.4738,0.024609206,0.09564634811046512,1921.79750820599,1672.1869878408538,3625.1816860465115,0.19436508,0.14501478,0.22171398,0.25777498,0.20361964,0.22812402,0.26391333,0.4583683,0.56253296,0.34448895,0.29203245,0.22874261
s10,Lombard,s10_l_lral6p.wav,-409.0195,42.524967,4.8677063,38.476902,4.68417,-32.663837,-28.97446,-11.057014,5.343683,4.1029167,-2.7371528,-0.8909305,1341.3323,0.017246133,0.1950400904605263,2473.8829824755576,1829.179761148362,4260.2796052631575,0.19092853,0.22236454,0.25831258,0.31199294,0.31530336,0.34103474,0.39154106,0.5249816,0.55571496,0.44333628,0.3293228,0.23620409
s10,Lombard,s10_l_lwaa3p.wav,-431.13928,34.248985,7.347042,51.133896,-3.380203,-29.570436,-21.2037,-13.458913,-0.33906156,-1.0357617,-0.9422162,-2.0353196,1551.0706,0.020460589,0.12862859987745098,2198.5654897648988,1779.8669743557584,4070.3125,0.2578035,0.22999008,0.25194362,0.2558765,0.3074834,0.29981902,0.31226373,0.47617838,0.5834979,0.5003368,0.39203113,0.31717828
s10,Lombard,s10_l_lwaozp.wav,-402.60803,41.215004,0.06997627,44.532295,2.4294643,-37.570286,-28.209246,-15.830131,2.4562728,-1.868826,-2.0209973,-0.009933357,1395.1459,0.025598677,0.1488037109375,2168.2765269366773,1737.9976728963352,3858.4375,0.20291561,0.18697384,0.21555538,0.22793795,0.26102334,0.29533273,0.2975978,0.4587334,0.5675402,0.43448517,0.325178,0.25337312
s10,Lombard,s10_l_lwix7n.wav,-387.59122,65.8996,-20.35162,33.87261,-12.404545,-28.437016,-24.131048,-15.052891,5.282477,-9.180947,-10.112729,-1.5800145,1539.2927,0.022885645,0.1298828125,1762.592892329751,1572.8628198466818,3470.0,0.22472626,0.23589797,0.21916158,0.22168659,0.25366694,0.42188972,0.48763266,0.4861854,0.43056014,0.34449193,0.22886826,0.20192708
s10,Lombard,s10_l_pbbj5n.wav,-410.81775,51.962463,-3.61285,49.715282,-6.8722863,-19.584915,-26.20331,-12.860643,1.0277898,-2.6112628,-1.5288079,5.397009,1744.0127,0.018188644,0.12115925114329268,1857.1449160194747,1683.739811959841,3722.370426829268,0.2778095,0.2790564,0.2367358,0.20637889,0.26065227,0.42376453,0.5181911,0.4753143,0.42161295,0.38304433,0.31614265,0.28266326
s10,Lombard,s10_l_pbbq3s.wav,-430.393,31.301485,8.128366,70.29133,4.6415334,-27.023783,-22.764442,-13.307149,-4.3418775,-10.8422785,-2.9736278,4.0324035,1811.8538,0.01933673,0.15246722341954022,2178.2323055702814,1770.620612938029,4113.056752873563,0.18895866,0.16793022,0.18633683,0.1754519,0.16473526,0.22229628,0.36993986,0.5797835,0.5502086,0.45489806,0.34019026,0.26745534
s10,Lombard,s10_l_pbwf9p.wav,-418.36368,41.764034,5.7970715,58.49459,5.972613,-22.798994,-22.635145,-11.98259,0.19027062,-2.7728274,-1.776955,5.9464655,1579.7568,0.01715977,0.16300077216569767,2160.6264525964693,1770.064512657297,4060.592296511628,0.21165644,0.21216474,0.20771523,0.23104635,0.25423998,0.35317057,0.543661,0.48628214,0.47599208,0.37692705,0.32776126,0.2586954
s10,Lombard,s10_l_pbwm2p.wav,-425.65158,33.413834,5.4371142,56.46907,4.836101,-24.058088,-22.979425,-14.63139,-7.357498,-6.439563,-6.273088,2.4141362,1793.3643,0.01995544,0.17530406605113635,2229.5001614330276,1787.2230042790943,4159.1796875,0.20599078,0.18780246,0.18058638,0.21855511,0.23672253,0.2701983,0.31464168,0.48730564,0.59991246,0.47991082,0.31624895,0.24186891
s10,Lombard,s10_l_pbwq2a.wav,-412.80035,33.9816,-3.7454798,58.79729,3.8906934,-25.961885,-24.559332,-12.448604,-5.0038176,-11.218605,-2.968728,2.5034766,2022.2976,0.019802542,0.14849044615963855,2166.1626862537196,1693.4256032789344,3919.5218373493976,0.2532135,0.26380312,0.19183256,0.18023604,0.20441458,0.26058745,0.37345752,0.46452597,0.48818377,0.4547394,0.2652309,0.25104678
s10,Lombard,s10_l_pbwz2n.wav,-418.46,31.955704,0.6324194,46.465443,2.9843004,-27.58831,-24.74448,-16.036531,-0.72281885,-1.2088753,-6.1670294,2.6136749,1575.0955,0.022769764,0.14066215183423914,2123.126161853575,1719.5234152901862,3857.421875,0.15855746,0.16340332,0.15896776,0.2021203,0.2419746,0.28014088,0.4424774,0.43167433,0.4168932,0.42343342,0.27129844,0.23527335
s10,Lombard,s10_l_pgae7s.wav,-420.37445,42.25412,5.852591,53.597565,0.086652294,-27.509216,-19.624115,-14.759444,-1.146471,-8.642827,-9.451867,1.9915469,1565.2252,0.017402297,0.17390522203947367,2205.3914680795597,1770.1777482910481,4083.059210526316,0.20874256,0.19810109,0.18079562,0.19398916,0.24279958,0.41655302,0.51919574,0.48923308,0.48974288,0.35432318,0.2684716,0.22123337
s10,Lombard,s10_l_pgba6s.wav,-420.33914,36.983597,10.167239,51.995846,4.4177737,-31.436016,-22.70777,-14.525786,-3.6899548,1.2814584,-0.7781356,2.9263,1687.1201,0.01670865,0.2186253324468085,2473.6341523958763,1760.3942668665704,4213.43085106383,0.20783392,0.2096675,0.22492512,0.21681145,0.24311863,0.32246605,0.42861325,0.60380846,0.5203426,0.33830753,0.27431142,0.21280475
s10,Lombard,s10_l_pgil3n.wav,-406.61575,60.820915,-16.452093,55.550674,-7.808963,-21.940609,-22.187971,-21.917389,-1.4414532,-5.4435496,-0.028738316,9.813901,1470.2821,0.020666217,0.11314260223765432,1775.0262544694297,1576.2165463942622,3482.831790123457,0.18249339,0.17608881,0.16886947,0.21339385,0.198712,0.24233003,0.337603,0.48070443,0.5554873,0.42855448,0.3075162,0.2082334
s10,Lombard,s10_l_pgir2a.wav,-406.6312,55.734364,-8.481706,49.97307,-2.6429186,-26.00399,-21.169828,-13.94031,0.7112761,-10.580114,-6.062998,0.017819984,1690.6398,0.019850038,0.13740234375,1958.7654212072491,1664.0907680900825,3723.3333333333335,0.19295517,0.19890337,0.22687642,0.20614801,0.21529539,0.2661333,0.38919762,0.5378148,0.5729508,0.3893003,0.3009789,0.21974485
s10,Lombard,s10_l_pgwe9p.wav,-421.24533,39.274044,7.483217,60.51811,-3.5098374,-28.193056,-22.08673,-22.853739,-2.5298667,0.32544097,-1.9602052,-1.5570838,1656.8232,0.019574054,0.13987665591032608,2093.5046091549107,1765.3918501040396,3914.147418478261,0.19842009,0.17530738,0.21888193,0.18076016,0.19238292,0.29676166,0.42386985,0.55137014,0.47696275,0.38399884,0.35539222,0.28074387
s10,Lombard,s10_l_prax4n.wav,-406.29132,59.56736,-6.616325,29.405792,-6.761215,-20.67037,-20.781769,-6.8089237,1.3120826,-1.2771744,-11.229776,2.3533704,1475.2253,0.016842067,0.15526740933641975,2028.1890831292073,1633.8001072527768,3593.4606481481483,0.2354331,0.29520836,0.2965099,0.2019695,0.2556689,0.40029234,0.45905444,0.44881377,0.43547198,0.35278335,0.24629544,0.24325413
s10,Lombard,s10_l_prayzp.wav,-407.81967,45.27383,-6.971293,45.175106,-1.7666332,-27.271923,-25.8522,-11.65258,3.2954838,-8.246359,-5.167562,5.2021384,1511.4982,0.021409929,0.17391531808035715,2215.951845635397,1725.5016332017567,4046.1309523809523,0.22841594,0.31290355,0.28256875,0.2110786,0.20813262,0.2636532,0.41939467,0.54803944,0.44462323,0.3279797,0.31229633,0.27718896
s10,Lombard,s10_l_prbm4p.wav,-422.90125,49.173306,7.2913013,40.388622,-3.045565,-27.414797,-23.739494,-13.217761,0.15622875,4.0119,-3.3504736,0.7482024,1595.4197,0.016708301,0.15656115962009803,2087.66450820771,1743.9787547730373,3847.0435049019607,0.26619354,0.26935002,0.3548285,0.35026714,0.3656022,0.3514123,0.40916327,0.5104188,0.48781925,0.44293493,0.37871528,0.30824384
s10,Lombard,s10_l_prws1p.wav,-425.27246,40.93393,6.702162,37.489433,1.0165588,-24.824839,-23.726892,-13.58819,-0.25353557,5.4376044,-5.9637475,1.155452,1646.2136,0.017596247,0.19396846810567012,2269.8321346649004,1721.324703470008,3972.374355670103,0.20171823,0.25809678,0.291788,0.29289585,0.2981066,0.37499836,0.46594992,0.54339784,0.49983552,0.37521303,0.2995547,0.2213251
s10,Lombard,s10_l_pwwh1p.wav,-414.97885,39.409916,9.254278,45.62536,-3.6745136,-22.3466,-25.590725,-14.575765,-2.1987104,4.8856406,-1.9313419,-1.2305456,1772.2656,0.018355351,0.15764802631578947,2185.5708249399186,1763.3331029221777,3971.217105263158,0.2667732,0.27100107,0.28334945,0.31161076,0.3127303,0.36556107,0.47716105,0.5415243,0.48478213,0.35578853,0.36830327,0.31596255
s10,Lombard,s10_l_pwwk7n.wav,-415.49854,51.7406,-5.838659,38.52525,-1.6158811,-26.674488,-22.42552,-13.275686,2.4613678,5.4285526,-7.107116,-0.9951719,1680.3824,0.016354471,0.15327196782178218,1942.6076821002566,1632.734976684819,3499.535891089109,0.18571644,0.20154545,0.22584586,0.24252677,0.28498074,0.2983974,0.37244326,0.44657943,0.53154397,0.42060614,0.2939019,0.23932363
s10,Lombard,s10_l_pwws8n.wav,-390.71912,42.458626,-3.6118636,36.60159,-5.617269,-28.331604,-28.036287,-11.335236,2.0238457,4.995447,-4.8625827,1.187352,1655.2529,0.018629733,0.16247164818548387,2166.562745802992,1708.776388786784,3966.985887096774,0.37992185,0.30307853,0.28032854,0.30061036,0.34764338,0.38908437,0.46740344,0.44808668,0.47201526,0.38899305,0.2772354,0.35214812
s10,Lombard,s10_l_sbbh6a.wav,-404.63998,50.115482,1.5327963,45.6081,2.081388,-28.196962,-26.185965,-12.604402,-3.1887667,-5.275917,-6.545676,-0.28853694,1579.5781,0.017496359,0.18939634811046513,2206.766768548646,1729.3108490604466,4005.4505813953488,0.27797747,0.24170648,0.26177588,0.24719764,0.26511574,0.35340178,0.4392867,0.522153,0.5408004,0.4289144,0.32636252,0.2856343
s10,Lombard,s10_l_sbib5a.wav,-402.39026,48.656326,1.6430961,49.378696,-2.4432902,-27.841204,-29.1467,-15.598498,-5.999656,-3.4600174,0.9450098,4.392256,1579.2327,0.020960355,0.14056332236842106,1952.2875925638814,1655.800615442967,3628.5361842105262,0.21307807,0.22023635,0.23557083,0.169854,0.1667887,0.23057418,0.34403926,0.50435466,0.52326787,0.44303197,0.28473386,0.23896717
s10,Lombard,s10_l_sgad4s.wav,-437.82007,53.208595,3.8555255,45.15961,-0.5024417,-27.765734,-21.827839,-11.409852,-4.224307,-8.775724,-8.955144,0.557721,1413.326,0.015861386,0.17609145220588235,2106.162367399379,1661.8405762507111,3782.4448529411766,0.20028678,0.23977289,0.21675417,0.19453289,0.2551767,0.354344,0.45695177,0.43774974,0.50488406,0.43843228,0.25366607,0.20527892
s10,Lombard,s10_l_sgbj5p.wav,-430.9683,37.612656,8.227717,44.882534,1.7827984,-24.783527,-25.657833,-11.335006,-0.012054574,-1.3847023,-1.0657303,6.6139965,1716.2836,0.018304763,0.1857164884868421,2273.6950007240193,1774.1227816039077,4065.4605263157896,0.25241235,0.22026114,0.20220156,0.21316709,0.27245843,0.32592764,0.48933426,0.55739033,0.47726086,0.38375223,0.34636965,0.2930904
s10,Lombard,s10_l_sgiv8p.wav,-415.17532,33.43056,8.571775,52.891483,-5.37453,-24.988178,-24.219326,-16.949005,-8.205806,-4.063563,-0.68060446,8.120119,1698.297,0.018882245,0.18911875849184784,2442.1705951260615,1753.2831799847495,4209.408967391304,0.22570848,0.18420532,0.17333637,0.18309677,0.2272524,0.30973625,0.3431452,0.45412645,0.6220706,0.42515513,0.22426827,0.25828204
s10,Lombard,s10_l_srai8s.wav,-410.22183,51.00042,-0.10947053,35.61686,-3.0122707,-26.079891,-25.89347,-6.676201,-0.8592413,-2.7819564,-8.5309925,1.3703886,1393.9398,0.01628766,0.18759869514627658,2407.6793340910854,1709.8401124609338,4125.581781914893,0.2801648,0.33325014,0.30753863,0.29048595,0.31924474,0.42468125,0.4850997,0.5062368,0.49142867,0.41602743,0.30548063,0.2903197
s10,Lombard,s10_l_sravzp.wav,-401.34146,36.35613,8.547078,48.364513,0.6994429,-31.25881,-30.010048,-17.26548,0.6866205,1.0332342,-4.6485767,3.6051826,1360.7496,0.022146953,0.17560831705729166,2367.5669939902823,1834.7855112889736,4224.609375,0.22006029,0.19479175,0.1767279,0.23147373,0.29203182,0.36638442,0.40140054,0.49423537,0.45665288,0.28386584,0.223702,0.2218734
s10,Lombard,s10_l_srbk3s.wav,-417.35828,32.151455,11.101176,45.805748,1.2580794,-29.474691,-25.021528,-9.348713,1.2422559,2.5993302,-3.8298666,0.73819864,1627.8832,0.01652918,0.20566998106060605,2514.047189355643,1770.6925583974514,4284.406565656565,0.22058797,0.22699325,0.27175605,0.29395622,0.33010864,0.41984457,0.55717397,0.56638557,0.45362017,0.3400929,0.24366023,0.22496876
s10,Lombard,s10_l_srid1a.wav,-403.2667,65.088326,-8.605814,45.895496,-9.1826105,-28.647081,-23.774202,-17.486721,-1.1729423,-7.5595903,-10.171399,-0.48951483,1377.9034,0.020369014,0.1412401075487013,1856.835357655753,1580.1402438717782,3449.776785714286,0.19040105,0.23005971,0.19909815,0.20208068,0.2611285,0.35534555,0.56718165,0.56495714,0.39234313,0.22240287,0.1977155,0.19456102
s10,Lombard,s10_l_sriu1p.wav,-444.9967,51.688843,6.623807,44.503628,-4.3862314,-22.672335,-18.049065,-12.598731,-2.4545078,-7.17675,-8.457533,3.6355162,1220.3752,0.016894965,0.17728493430397727,2097.163771862291,1644.5003007481957,3733.6647727272725,0.14835829,0.19553779,0.2119698,0.20202929,0.21648064,0.31624195,0.5776093,0.57478386,0.40765956,0.24600638,0.18971103,0.17703101
s10,Lombard,s10_l_swar4p.wav,-415.36087,56.12683,-0.083206706,24.601116,-13.955795,-19.978598,-16.340876,-10.071222,1.3721975,-0.3137472,-9.876879,3.0828493,1387.6471,0.018433804,0.1649268139367816,2193.898944956131,1720.7720441389915,3926.275143678161,0.20702344,0.24625549,0.28279814,0.22335787,0.3103484,0.37320656,0.48766524,0.65801597,0.49203908,0.28264666,0.23247951,0.25143823
s10,Lombard,s10_l_swib5n.wav,-408.8676,55.02542,-5.735584,34.172024,-7.1311736,-24.922552,-22.36737,-10.15953,2.9534566,3.8746712,-5.565299,-1.969519,1594.6587,0.017046746,0.1503959324048913,1993.3901746482845,1639.4772421913374,3612.3471467391305,0.23308626,0.22068049,0.17424372,0.2469813,0.26937672,0.35504478,0.46363616,0.51983476,0.5312558,0.32371503,0.23378605,0.2191567
s10,Plain,s10_p_bbat9p.wav,-489.19144,66.692986,9.881788,53.689537,3.1287053,-19.331505,-17.970074,-16.48259,1.3377461,-7.7759857,-3.0121682,-3.1257806,1564.396,0.010352824,0.1145782470703125,1679.4202632050633,1650.9962247414076,3237.1826171875,0.2811966,0.288557,0.25817722,0.23844533,0.26384598,0.3139447,0.56785107,0.51094824,0.55233115,0.49654835,0.29842734,0.26323926
s10,Plain,s10_p_bbay5n.wav,-485.50632,78.315834,-4.1172266,43.128445,-0.8462147,-22.21223,-18.150122,-14.302883,3.6925988,1.190345,-4.518205,-1.1792603,1424.2609,0.011350777,0.07055383441091954,1319.373764590901,1432.7737061461808,2444.5043103448274,0.25115332,0.2656749,0.28473642,0.27826616,0.24850972,0.35306513,0.46511915,0.48756844,0.39916143,0.34922713,0.30004498,0.26153883
s10,Plain,s10_p_bbbg8s.wav,-510.68607,66.59335,25.29677,65.675385,3.7859068,-22.616667,-16.515032,-16.445724,-3.1719286,-7.7972593,-2.3286693,-2.910446,1076.2644,0.010027063,0.10279271509740259,1632.2330152248326,1564.0797810414413,3033.380681818182,0.20746182,0.21759063,0.19156092,0.21282801,0.23023893,0.26685598,0.51787573,0.4937391,0.38431728,0.30636486,0.21512514,0.19973436
s10,Plain,s10_p_bbbg9p.wav,-493.66028,62.142807,18.153982,62.357944,7.8640146,-18.45918,-13.473904,-16.493217,-0.9887037,-5.556724,-3.6146927,-0.66188854,1109.1361,0.012881603,0.0695461697048611,1481.0823843750686,1618.6380066359245,2884.4401041666665,0.23135225,0.2276348,0.18654501,0.17060924,0.17145234,0.26321554,0.49676737,0.53546983,0.49916533,0.4050921,0.21591069,0.1943582
s10,Plain,s10_p_bgin7n.wav,-485.0472,85.18768,0.26174596,45.600735,-1.8779837,-22.11042,-14.723991,-16.875002,4.3959618,-10.230759,-9.948494,-4.0366874,1039.2485,0.013004925,0.08810292119565218,1316.6100466656426,1474.3396933627034,2609.261775362319,0.19771586,0.20045632,0.18666795,0.15669298,0.25232854,0.514046,0.54736465,0.47737044,0.43551195,0.26270807,0.20446236,0.20627208
s10,Plain,s10_p_braczp.wav,-477.50977,65.12463,7.235054,52.17671,10.818886,-26.63612,-21.919735,-10.441754,4.874229,-7.372523,-8.305008,3.4158137,1054.8145,0.012090914,0.14787634095149255,1930.7364246438185,1719.6734147148602,3677.472014925373,0.25101265,0.2787628,0.26035157,0.20366378,0.21289787,0.38066396,0.53577584,0.49289596,0.5261871,0.40935522,0.2486339,0.22703369
s10,Plain,s10_p_brin2n.wav,-504.30884,83.17015,3.4475543,57.779194,-1.1273631,-24.836811,-21.664614,-19.63821,-0.9276813,-5.5124607,1.301774,-0.4459092,1392.6414,0.0113811605,0.0741455078125,1344.7602534261155,1390.7501730966974,2583.69140625,0.2725794,0.27030727,0.30055517,0.3105759,0.30520013,0.4396963,0.561907,0.48944297,0.37235168,0.36230904,0.2733605,0.2755991
s10,Plain,s10_p_bwbc1s.wav,-495.2206,65.769775,13.92536,42.843124,2.7609522,-22.24808,-14.099925,-13.773963,-1.1637552,-3.2534173,-5.246564,0.06860029,1291.9468,0.010845022,0.1565625,1891.7835834889736,1539.0490584375864,3166.5625,0.21475111,0.2918391,0.22680171,0.20194271,0.26184624,0.38290057,0.54288435,0.4813645,0.45850092,0.38156864,0.21611992,0.18442145
s10,Plain,s10_p_bwbi7s.wav,-516.157,82.64761,3.9520664,39.103207,3.5454705,-17.37425,-11.490161,-9.313457,4.764646,-2.9846704,-4.9889994,-1.0248939,1139.4276,0.009478695,0.08896600632440477,1365.521015636311,1452.5880647792505,2433.221726190476,0.24678287,0.32069463,0.3401279,0.24986202,0.24242198,0.33690727,0.58339447,0.5766829,0.43016338,0.43751302,0.29093212,0.2681514
s10,Plain,s10_p_bwbp9a.wav,-500.99585,78.64078,-2.5407887,55.159863,-3.2442544,-20.207565,-14.898606,-12.575681,3.4036884,-5.55422,-7.3578634,-2.3972967,1417.1158,0.009381037,0.07394248560855263,1391.612183945018,1508.680068501877,2816.2006578947367,0.26834348,0.3192378,0.276541,0.23464192,0.25586674,0.40700614,0.6166302,0.5560099,0.4120117,0.37977982,0.25121713,0.23967703
s10,Plain,s10_p_bwiu3s.wav,-503.0892,57.923904,14.699021,65.871956,-0.5159723,-25.251661,-15.0859785,-14.093906,-2.9025848,-3.3495326,-1.7736899,-0.9190572,1538.8564,0.011049451,0.1226963141025641,1759.2693445626426,1613.5125372107457,3317.8084935897436,0.1642944,0.18503281,0.20852889,0.20238681,0.22792861,0.36909834,0.6166415,0.5345541,0.40054646,0.33420387,0.20708473,0.17827713
s10,Plain,s10_p_bwwoza.wav,-457.87158,75.570435,-10.27947,57.53633,5.6898136,-33.168068,-27.636438,-17.213259,3.331127,-3.4727933,-2.6222804,2.443236,1309.9625,0.013308571,0.08415743670886076,1466.195552891669,1496.515668974629,2838.5087025316457,0.26715282,0.32229224,0.3122516,0.20849177,0.2114262,0.3185239,0.47642478,0.5314638,0.40793517,0.31909177,0.24353915,0.24949144
s10,Plain,s10_p_lbbt4a.wav,-488.17755,73.26459,3.8834484,55.57052,2.973825,-22.103725,-20.597399,-14.947584,2.2715738,-5.8512735,-2.5996146,-2.7323232,1357.3722,0.010808377,0.08184814453125,1532.7776642223896,1561.4616036972911,3040.52734375,0.23591664,0.32678133,0.22499347,0.19149701,0.21848738,0.35706466,0.5509119,0.550574,0.46764097,0.39234233,0.2635311,0.23339768
s10,Plain,s10_p_lgif6n.wav,-472.66638,67.56211,3.8639557,51.88122,2.517524,-24.186623,-24.502768,-17.520624,1.3221892,-0.35084844,1.0596507,0.29126492,1069.9052,0.012450436,0.12126721833881579,1697.1714618780727,1540.5981713942772,3165.090460526316,0.22891708,0.24334937,0.21670687,0.20225656,0.24792247,0.45989272,0.56367666,0.6033849,0.5211267,0.2872905,0.22481896,0.2133679
